belong,title,url,category,sub_category
Best Seller,Night Out & Special Occasion,https://www.amazon.com/Best-Sellers-Juniors-Night-Out-Blazers-Jackets/zgbs/fashion/9650255011/ref=zg_bs_nav_6_9650253011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Juniors/Suits & Blazers/Blazers"
Best Seller,Casual Socks,https://www.amazon.com/Best-Sellers-Womens-Petite-Casual-Socks/zgbs/fashion/6114091011/ref=zg_bs_nav_5_6114090011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Petite/Socks & Hosiery"
Best Seller,Pants & Capris,https://www.amazon.com/Best-Sellers-Plus-Size-Maternity-Pants-Capris/zgbs/fashion/5605435011/ref=zg_bs_nav_5_5605409011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size/Maternity"
Best Seller,Jeans,https://www.amazon.com/Best-Sellers-Plus-Size-Maternity-Jeans/zgbs/fashion/5605434011/ref=zg_bs_nav_5_5605409011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size/Maternity"
Best Seller,Industrial & Construction,https://www.amazon.com/Best-Sellers-Womens-Industrial-Construction-Shoes/zgbs/fashion/6796866011/ref=zg_bs_nav_4_679442011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shoes/Work & Safety"
Best Seller,Tops & Tees,https://www.amazon.com/Best-Sellers-Plus-Size-Maternity-Tops-Tees/zgbs/fashion/5605410011/ref=zg_bs_nav_5_5605409011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shops/Plus-Size/Maternity"
Best Seller,Health Care & Food Service,https://www.amazon.com/Best-Sellers-Womens-Health-Care-Food-Service-Shoes/zgbs/fashion/6796865011/ref=zg_bs_nav_4_679442011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shoes/Work & Safety"
Best Seller,Fire & Safety,https://www.amazon.com/Best-Sellers-Womens-Fire-Safety-Shoes/zgbs/fashion/6796864011/ref=zg_bs_nav_4_679442011,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Shoes/Work & Safety"
Best Seller,Slipper Socks,https://www.amazon.com/Best-Sellers-Womens-Slipper-Socks/zgbs/fashion/2376199011/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Socks & Hosiery"
Best Seller,Sheers,https://www.amazon.com/Best-Sellers-Womens-Sheers/zgbs/fashion/1044934/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Socks & Hosiery"
Best Seller,Tights,https://www.amazon.com/Best-Sellers-Womens-Tights/zgbs/fashion/1044936/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Socks & Hosiery"
Best Seller,Leg Warmers,https://www.amazon.com/Best-Sellers-Womens-Leg-Warmers/zgbs/fashion/2376198011/ref=zg_bs_nav_4_1044886,"Clothing, Shoes & Jewelry","Clothing, Shoes & Jewelry/Women/Clothing/Socks & Hosiery"
